frame,caption
232.jpg,"The image is a video of some steps. The steps are lit up with blue and green lights. The lights are shining down on the steps. There is a watermark in the top right corner of the image that says ""HTV7 HD 18:46:56"". There is also a small amount of text in the bottom left corner that says, du kien tu 21/3."
233.jpg,A man is standing in a hallway. He is wearing a white jacket. There is a black door on the wall behind the man. A red picture frame is hanging on a wall above the door.
234.jpg,This is an image from a TV show. It appears to be a living room. There is a couch in the middle of the room. The couch is brown. There are pillows on the couch. The wall behind the couch is red with a diamond pattern on it. The window frames are gold. The picture is blurry.
235.jpg,A person is wearing a white long sleeve shirt. They are holding a black and yellow object in their hands. There is a black chair in front of them. 
236.jpg,A man is standing in front of a city skyline. He is wearing a black shirt and a red tie. He has glasses on and has short black hair. There is a red sky behind the man.
237.jpg,A man is wearing a black shirt and a red tie. He is wearing glasses and has short black hair. There are tall buildings behind him. There is a red sky behind the man.
238.jpg,A man is shown on a video call. He is wearing a black shirt and has short hair. There is a window behind him. There are several smaller pictures in front of him. 
239.jpg,A man is shown on a video call. He is wearing a black shirt and has short dark colored hair. There is a window behind him. 
240.jpg,This is an image of a street. The street is very wet. The lights on the street are bright blue. There is a large white building next to the street. There are cars parked on the side of the road. The road has white and yellow markings on it.
241.jpg,A picture of a street with a person on a motorcycle. The person is wearing a white helmet. The motorcycle has a green light on the front of it. There is a building next to the street. There are cars parked on the side of the street next to a sidewalk. 
242.jpg,This is an image from a CCTV camera. The camera is dark. There is a person in the middle of the street. The person is wearing a white helmet. The helmet is white. There are yellow lines on the ground. The lines are painted in a zebra crossing pattern. The headlights of the motorcycle are on. The motorcycle has a blue light on the front.
243.jpg,This is a CCTV image taken at night. There is a large white building on the corner of the street. There are several cars parked on the street in front of the building. A man is walking across the street holding a long stick in his hand. He is wearing a white helmet and a white jacket. There appears to be a large crowd of people standing on the side of the road.
244.jpg,This is a security camera footage. There is a large building on the corner of the street. There are several cars parked on the street in front of the building. A man in a white shirt and a white helmet is crossing the street at the crosswalk.
245.jpg,There are several motorcycles on the street. There is a building next to the street with a yellow door on it. There are cars parked in front of the building. 
246.jpg,A woman is wearing a red dress with white dots on it. She is holding a red wallet in her hands. There is a large screen behind the woman. 
247.jpg,A woman is wearing a red dress with white dots on it. She is holding a red wallet in her hands. There is a picture next to the woman on the screen. 
248.jpg,Two men are standing outside of a white building. One of the men is wearing a green shirt and green pants. He is standing next to a motorcycle. The motorcycle is black and silver in color. There is a white door on the building. 
249.jpg,A man in a green uniform is standing in front of a gate. There are trees behind the man. There is a red and white sign on the front of the man's uniform. 
250.jpg,A man is wearing a brown and white checkered shirt. There is a white door behind the man. A red car is parked in front of the building. There are trees behind the car. 
251.jpg,A man in a green uniform is standing in front of a white wall. There is a silver gate on the wall behind him. There are trees behind the man. 
252.jpg,An Asian man is crying. He is wearing a brown and white plaid shirt. There is a red car behind him. There are trees behind the man. 
253.jpg,A man in a green uniform is bending over a white motorcycle. There is a red car and a yellow car behind the man. 
254.jpg,A person is wearing a watch on their wrist. They are touching the hood of a motorcycle. The motorcycle is white and has the word Honda written on it. There is blood on the hood. 
255.jpg,A man in a green uniform is standing in front of a gate. There is a large tree behind the man. The man has short black hair. 
256.jpg,An older Asian man with black hair is wearing a brown and white checkered shirt. He has his eyes closed and his mouth is slightly open. Behind him is a white wall with a white door. There are trees behind him. 
257.jpg,Two men are standing outside of a building. One of the men is wearing a green uniform. He is standing next to a black motorcycle. The other man is standing in front of a white door. There is a green gate on the building. 
258.jpg,A man is standing in front of a white door. There is a red car behind the man. The man is wearing a plaid shirt. 
259.jpg,Two men are standing in front of a white wall. One of the men is wearing a plaid shirt. He is standing next to a motorcycle. The man in the green shirt is touching the motorcycle. 
260.jpg,A man in a green shirt is standing in front of a white wall. There is a red car behind the man. The man is wearing a plaid shirt. 
261.jpg,A man is standing in front of a city skyline. He is wearing a black shirt and a red tie. He has glasses on and has short black hair. The sky behind the man is orange and yellow. There are tall buildings in the skyline. 
262.jpg,A man is standing in front of a city skyline. He is wearing a black shirt and a red tie. He has black hair and glasses on. There is a red sky behind the man.
263.jpg,A man in a brown shirt and pants is walking down a street. There is a motorcycle that is laying on its side on the street. Two orange cones are standing on the sidewalk behind the motorcycle. A person on a pink motorcycle is sitting in front of the cone. A white bus is parked on the side of the road. Tall green trees are standing near the bus.
264.jpg,There is a motorcycle on the street. There is a red chair in front of the motorcycle. There are people standing around the motorcycle wearing yellow vests. 
265.jpg,There is a motorcycle parked on the street. There is a man in a brown shirt standing next to the motorcycle. There are people standing on the sidewalk next to them. 
266.jpg,There is a blue sign on a pole. There are wires above the sign. There is a large tree on the side of the pole. 
267.jpg,There is a blue and white bus parked on the street. There is a man in a green uniform walking next to the bus. 
268.jpg,There are several people standing in front of a white truck. There is a man in a green jumpsuit standing next to the truck. He is wearing a face mask on his face. 
269.jpg,There are several people standing on a street. There is a man bending down in front of them. There are two men in green pants standing next to them.
270.jpg,There are several people standing on the street. There is a man in a yellow shirt and blue pants. There are buildings behind them. 
271.jpg,A woman is wearing a red dress with white dots on it. She is holding a red wallet in her hands. There is a picture next to the woman on the screen. 
272.jpg,A woman is wearing a red dress with white dots on it. She is holding a brown wallet in her hands. There is a large screen behind the woman. 
273.jpg,A picture is taken in the dark. There are bright lights shining on the ground. There is a large group of people standing in front of the lights.
274.jpg,There is a large crowd of people gathered together. There are bright lights shining on the crowd. There is a tall building behind them. The sky above the crowd is dark.
275.jpg,There are several motorcycles on the street. There are several people standing next to them. There is a large metal structure behind them. 
276.jpg,There is a person standing on the sidewalk. There are several motorcycles next to the person. There is a white van behind them. The person is wearing a black jacket. 
277.jpg,There are several motorcycles on the ground. There is a man in a white jacket standing next to them. He is wearing a black helmet. 
278.jpg,There are several people standing around a motorcycle. There is a man in a black uniform with a black hat on. There are several trucks behind them. 
279.jpg,There are two men standing next to a motorcycle. One of the men is wearing a red hat and a yellow vest. There is a large metal structure behind them. 
280.jpg,A man is standing in front of a city skyline. He is wearing a black shirt and a red tie. He has black hair and glasses on. There is a red sky behind the man.
281.jpg,A man is standing in front of a city skyline. He is wearing a black shirt and a red tie. He has glasses on and has short black hair. There is a red sky behind the man.
282.jpg,A man and woman are walking down a long hallway. The man is wearing a green suit with a white shirt and tie. The woman is wearing an outfit that is black and white. There is a plant in the corner of the hallway.
283.jpg,A man in a green shirt is sitting at a brown table. There is a woman sitting in a chair in front of him. There are gray cabinets behind them. 
284.jpg,There is a man in a green suit sitting at a brown table. There is a woman in a black and white shirt sitting in a chair behind him. There are silver lockers behind them.
285.jpg,A man is sitting in a chair. There are two chairs in front of him. The man has dark hair and a blue shirt on. There is a gray wall behind the man.
286.jpg,A man in a green uniform is sitting at a black table. He is writing on a piece of paper that is in front of him. There is a desk behind him with a white teapot on it. 
287.jpg,A man is sitting down. He is wearing a green jacket with a white collar. There are medals pinned to his jacket. There is a white tea pot on a table behind him. 
288.jpg,A man in a green uniform is sitting at a brown table. He is holding a pen and writing on a piece of paper. There is a woman sitting in front of him in a blue shirt. 
289.jpg,A man in a green military uniform is sitting in a chair. There is a wooden desk behind him against a white wall. There are windows on the wall behind the man. 
290.jpg,A man and woman are sitting at a table. The man is wearing a green jacket. He is writing on a piece of paper. The woman is sitting next to him. She has a blue shirt on with flowers on it. There are chairs around the table. 
291.jpg,A woman is standing in front of a colorful background. She is wearing a red dress with white dots on it. She has short dark hair and is holding a brown wallet in her hands. There is a large picture on the wall behind the woman.
292.jpg,A woman is standing in front of a screen. She is wearing a red dress with white dots on it. The woman is holding a brown wallet in her hands. There is a picture on the screen behind the woman. 
293.jpg,There is a large fire on the ground. The fire is bright orange and yellow. There is smoke coming out of the fire. The ground around the fire is red.
294.jpg,A red truck is driving on a dirt road. There are people standing on the side of the road next to the truck. There is clouds in the sky above the people. 
295.jpg,There is a large fire on the ground. There is thick black smoke coming out of the fire. There are clouds in the sky. The ground around the fire is brown.
296.jpg,There is a person standing on a street. There is a large cloud of smoke coming off of a building behind the person. The sky above the person is gray.
297.jpg,There is a person wearing a white robe standing on a beach. There is a large cloud of smoke behind the person. The person has a black hat on their head.
298.jpg,There is a person wearing a white shirt and a black hat. There is a building behind them with a lot of smoke coming out of it.
299.jpg,There is a man standing in the dirt. There is a building behind him with a red light coming out of it. The man is wearing a dark colored outfit. 
300.jpg,The image is a screenshot from a video. It is dark on the left side and on the right side. There is dirt on the ground. In the center of the image there is a vehicle that has crashed and is on fire. The vehicle appears to be a bus. There are people standing around the vehicle that are trying to extinguish the fire.
301.jpg,A picture of a crashed vehicle. The vehicle is on fire. There is smoke coming out of the back of the vehicle. There are dirt on the ground around the vehicles. The sky above the vehicle is gray. The picture has a black border around it.
302.jpg,A woman in a red dress is standing in front of a large screen. There is a city on the screen behind her. There are lights on the ceiling above the screen. 
303.jpg,Two people are standing in front of a large screen. They are both dressed in business attire. There is a red and white sign on the front of the screen. There are buildings on the screen behind them.
304.jpg,"The image is a dark room. There are two people standing in the room. The room has a red and white color scheme. There is a logo in the middle of the room that is white and red. The logo has the letters ""HTV"" on it. The date and time of the photo is 18:58:59."
